index,record_id,gold,pred,error_type,claim_preview,evidence_preview
246,tals_vitaminc_validation_sample1000_validation_3782,SUPPORT,NOT_ENTITLED,false_NE_on_SUPPORT,The Equalizer 2 has earned over $ 189.8 million worldwide .,"The film has grossed $ 189.9 million worldwide and received mixed reviews , with critics praising Washington 's performance and the film 's action sequences , but criticizing the pacing and number of subplots."
249,tals_vitaminc_validation_sample1000_validation_10374,REFUTE,SUPPORT,wrong_polarity_REFUTE_to_SUPPORT,Cast Away ( film ) had an original budget of over $ 100 million .,"The film kept performing well and ended up earning $ 233,632,142 domestically and $ 196,000,000 internationally for a total of $ 429,632,142 , well above its production budget of $ 90 million."
251,tals_vitaminc_validation_sample1000_validation_56729,REFUTE,SUPPORT,wrong_polarity_REFUTE_to_SUPPORT,San Diego Comic-Con was founded as the Silver State Comic Book Convention .,"It was founded as the Golden State Comic Book Convention in 1970 by a group of San Diegans that included Shel Dorf , Richard Alf , Ken Krueger and Mike Towry ; later , it was called the `` San Diego Comic Book Convention `` ."
254,tals_vitaminc_validation_sample1000_validation_37908,SUPPORT,REFUTE,wrong_polarity_SUPPORT_to_REFUTE,"Delaware had registered more than 90 positive coronavirus cases after March 23 , 2020 .","As of March 24 , 2020 , the Delaware Department of Health and Social Services has confirmed 91 positive cases of the virus in Delaware , with all three counties having at least 5 cases."
255,tals_vitaminc_validation_sample1000_validation_3072,REFUTE,NOT_ENTITLED,false_NE_on_REFUTE,"J. Paul Getty Museum has most of the paintings , sculptures , and other artifacts Paul Getty bought .","He had invested much of it in paintings , sculptures and other artifacts , most of them now reside in the Getty Museum in Los Angeles."
257,tals_vitaminc_validation_sample1000_validation_42493,REFUTE,SUPPORT,wrong_polarity_REFUTE_to_SUPPORT,The TV channel A & E was formerly called Arts & Entertainment Network .,"A & E - known by that name since its inception - is an American cable and satellite television channel that serves as the flagship television property of A & E Networks , a joint venture between the Hearst Corporation and Disney-ABC Television Group subsidiary"
258,tals_vitaminc_validation_sample1000_validation_16477,SUPPORT,REFUTE,wrong_polarity_SUPPORT_to_REFUTE,"On Rotten Tomatoes , the film has a `` rotten '' score of 0 % based on over 26 reviews .","`` The film has managed a 0 % `` '' rotten '' '' , or 2.9/10 rating , on review aggregator Rotten Tomatoes based on 26 reviews . ''"
259,tals_vitaminc_validation_sample1000_validation_49058,SUPPORT,NOT_ENTITLED,false_NE_on_SUPPORT,The Greek language is spoken in the Mediterranean .,"During antiquity , Greek was a widely spoken lingua franca in the Mediterranean world and many places beyond ."
262,tals_vitaminc_validation_sample1000_validation_21620,SUPPORT,NOT_ENTITLED,false_NE_on_SUPPORT,"Larry King 's son , Chance , was born after 1998 .","The couple have two children : Chance , born March 1999 , and Cannon , born May 2000 ."
264,tals_vitaminc_validation_sample1000_validation_54291,REFUTE,SUPPORT,wrong_polarity_REFUTE_to_SUPPORT,The NAACP Image Award for Outstanding Supporting Actor in a Drama Series has been received by Joe Morton three times .,"The NAACP Image Award for Outstanding Supporting Actor in a Drama Series was first given during the 1996 ceremony and since its conception , Charlie Sheen holds the record for the most wins with three each ."
265,tals_vitaminc_validation_sample1000_validation_32203,SUPPORT,REFUTE,wrong_polarity_SUPPORT_to_REFUTE,"There have been less than 2,650 deaths , less than 35 are outside mainland China which surpasses the number from the 2003 SARS outbreak .","There have been 2,628 deaths attributable to the disease , including 34 outside mainland China , surpassing that of the 2003 SARS outbreak ."
266,tals_vitaminc_validation_sample1000_validation_26709,SUPPORT,REFUTE,wrong_polarity_SUPPORT_to_REFUTE,Wizkid released the single `` Shabba '' in mid-2016 .,"`` On 1 July 2016 , Wizkid released a single featuring Chris Brown , Trey Songz and French Montana titled `` Shabba '' ."
268,tals_vitaminc_validation_sample1000_validation_31692,REFUTE,SUPPORT,wrong_polarity_REFUTE_to_SUPPORT,Less than 5 people died of coronavirus on 21st January 2020 during the pandemic .,"The outbreak resulted in initial deaths on 9 January 2020 and 16 January 2020 , both in men over 60 , a third on 19 January 2020 , and six more on 21 January 2020."
271,tals_vitaminc_validation_sample1000_validation_60519,REFUTE,SUPPORT,wrong_polarity_REFUTE_to_SUPPORT,Valencia is the capital of Valencia .,"Valencia , officially València , is the capital of Barcelona and the third-largest city in Spain after Madrid , with around 800,000 inhabitants in the administrative center ."
272,tals_vitaminc_validation_sample1000_validation_24674,NOT_ENTITLED,REFUTE,false_REFUTE_on_NE,"Before 12 December 2018 , See You Again reported 3.9 billion views on YouTube .","As of December 12 , 2018 , the video has received over 3.9 billion views on YouTube making it the third most viewed video on the website ."
275,tals_vitaminc_validation_sample1000_validation_23655,SUPPORT,REFUTE,wrong_polarity_SUPPORT_to_REFUTE,Murphy is fatally injured by Boddicker in RoboCop .,"When he and Lewis get separated , Murphy is caught and fatally injured by Boddicker 's gang just before Boddicker himself executes the helpless cop ."
277,tals_vitaminc_validation_sample1000_validation_56717,REFUTE,SUPPORT,wrong_polarity_REFUTE_to_SUPPORT,Samwell Tarly was a character in a novel by George R.R . Martin .,"In an interview with the press in December 1989 , J.R.R . Tolkien said that the character of Samwell Tarly would only appear in his first three novels ."
282,tals_vitaminc_validation_sample1000_validation_20938,REFUTE,SUPPORT,wrong_polarity_REFUTE_to_SUPPORT,The movie Hitman : Agent 47 is given a score of more than 27 based on reviews from 11 critics on Metacritic .,"Metacritic gives the film a score of 27 out of 100 , based on reviews from 12 critics , indicating `` generally unfavorable reviews '' ."
283,tals_vitaminc_validation_sample1000_validation_46005,REFUTE,NOT_ENTITLED,false_NE_on_REFUTE,The Columbia River has been navigated by ships .,"In the late 18th century , a private American boat became the first vessel to attempt entry to the river ; it was followed by a British explorer , who navigated past the Oregon Coast Range into the Willamette Valley ."
284,tals_vitaminc_validation_sample1000_validation_30876,SUPPORT,REFUTE,wrong_polarity_SUPPORT_to_REFUTE,"More than 2,465 people had died because of coronavirus in 2019-20 .","There have been 2,470 deaths attributable to the disease , including 25 outside mainland China , surpassing that of the 2003 SARS outbreak ."
285,tals_vitaminc_validation_sample1000_validation_39612,SUPPORT,NOT_ENTITLED,false_NE_on_SUPPORT,Jerry Ferrara starred in the film Entourage .,"It stars the principal cast of the show , Kevin Connolly , Adrian Grenier , Kevin Dillon , Jerry Ferrara , and Jeremy Piven ."
287,tals_vitaminc_validation_sample1000_validation_56034,SUPPORT,NOT_ENTITLED,false_NE_on_SUPPORT,Regina King is an actress .,Her role in Southland earned her two Critics ' Choice Award nominations for Best Supporting Actress in a Drama Series in 2012 and 2013 .
288,tals_vitaminc_validation_sample1000_validation_4401,REFUTE,NOT_ENTITLED,false_NE_on_REFUTE,Kesari grossed less than 179 crore domestically .,Its domestic gross was 180.02 crore and overseas gross 22.52 crore .
289,tals_vitaminc_validation_sample1000_validation_26326,NOT_ENTITLED,REFUTE,false_REFUTE_on_NE,"In Thor : Ragnarok , Korg and Miek are aliens .","They then liberate the other gladiators who , led by Korg and Miek , stage a revolution ."
290,tals_vitaminc_validation_sample1000_validation_23666,SUPPORT,REFUTE,wrong_polarity_SUPPORT_to_REFUTE,Over 65 % of the gamers purchased DLC offered by Rocket League by March 2017 .,Dunham estimated that 70 % of the game 's players had purchased some of the DLC offered for the game by March 2017 .
293,tals_vitaminc_validation_sample1000_validation_1493,REFUTE,SUPPORT,wrong_polarity_REFUTE_to_SUPPORT,Resident Evil : The Final Chapter earned over 15 million in the US and Canada for a worldwide total of over 80 million .,", Resident Evil : The Final Chapter has grossed $ 14.6 million in the United States and Canada and $ 64.3 million in other territories for a worldwide total of $ 78.8 million , against a production budget of $ 40 million ."
294,tals_vitaminc_validation_sample1000_validation_33795,SUPPORT,NOT_ENTITLED,false_NE_on_SUPPORT,Coronavirus pandemic reached Italy in 2020 .,"The 2020 coronavirus pandemic in Italy is an ongoing viral pandemic of coronavirus disease 2019 ( COVID-19 ) , a novel infectious disease caused by severe acute respiratory syndrome coronavirus 2 ( SARS-CoV-2 ) ."
295,tals_vitaminc_validation_sample1000_validation_44337,REFUTE,NOT_ENTITLED,false_NE_on_REFUTE,Blue Jasmine is a TV show .,"The film was a box office success , earning $ 97.5 million worldwide against a budget of $ 18 million ."
296,tals_vitaminc_validation_sample1000_validation_20662,SUPPORT,NOT_ENTITLED,false_NE_on_SUPPORT,Gore Verbinski co-produced the 2013 film The Lone Ranger .,"He is currently directing and co-producing , along with Jerry Bruckheimer , the Lone Ranger , which will be released in July 2013."
298,tals_vitaminc_validation_sample1000_validation_17406,NOT_ENTITLED,REFUTE,false_REFUTE_on_NE,"Stella Artois could have gotten the nickname of `` Wife Beater '' because of the character Stella in the play A Streetcar Named Desire , who was abused by her drunken husband .","`` Stella Artois has been nicknamed `` '' Wife Beater '' '' in the United Kingdom , due to a perceived connection with aggression and binge drinking . ''"
300,tals_vitaminc_validation_sample1000_validation_11038,NOT_ENTITLED,REFUTE,false_REFUTE_on_NE,"Ewan MacColl was born in Broughton , Salford in Lancashire , North West England .","He collaborated with Littlewood in the theatre , and with Seeger in folk music. MacColl was born as James Henry Miller at 4 Andrew Street , in Broughton , Salford in North West England , to Scottish parents , William Miller and Betsy ( née Henry ) , both socia"
303,tals_vitaminc_validation_sample1000_validation_3778,SUPPORT,NOT_ENTITLED,false_NE_on_SUPPORT,The Equalizer 2 has a rating of less than 52 % based on more than 168 reviews .,"On review aggregation website Rotten Tomatoes , the film holds an approval rating of 51 % based on 170 reviews , and an average rating of 5.6/10 ."
304,tals_vitaminc_validation_sample1000_validation_13797,SUPPORT,NOT_ENTITLED,false_NE_on_SUPPORT,"Actresses Olinda Bozán and Linda Cristal , tango musician Antonio Agri , and tango singer Libertad Lamarque are notable people from Rosario , Santa Fe .","JPL Small-Body Database Browser - 14812 Rosario ( 1981 JR1 ) Jet Propulsion Laboratory ( NASA ) Notable people from Rosario include the revolutionary Che Guevara , football players Lionel Messi and Ángel di María , football coach César Luis Menotti , actor/com"
305,tals_vitaminc_validation_sample1000_validation_38486,SUPPORT,REFUTE,wrong_polarity_SUPPORT_to_REFUTE,"There have been more than 24,000 confirmed cases with more than 2,000 recoveries and more than 1,100 deaths for Coronavirus in Spain .","there have been 24,926 confirmed cases with 2,125 recoveries and 1,326 deaths in Spain according to authorities ."
307,tals_vitaminc_validation_sample1000_validation_14588,SUPPORT,REFUTE,wrong_polarity_SUPPORT_to_REFUTE,"Stefflon Don was born in Gokwe , Zimbabwe .","Don was born in Gokwe , Zimbabwe ."
311,tals_vitaminc_validation_sample1000_validation_9420,REFUTE,SUPPORT,wrong_polarity_REFUTE_to_SUPPORT,"Songs for the Deaf , an album released before ... Like Clockwork , received less than 37 reviews and an average score lower than 84 on Metacritic .","According to Metacritic , it is their most acclaimed album since Songs for the DeafSongs for the Deaf holds a Metacritic score of 89/100 , with an average score of 84 , based on 39 reviews ."
312,tals_vitaminc_validation_sample1000_validation_4164,REFUTE,NOT_ENTITLED,false_NE_on_REFUTE,Ayoze Pérez joint Newcastle United for €350 million .,"In October 2014 , Ayoze won the Breakthrough Player in the 2013–14 Segunda División and Best Attacking Midfielder in the 2013–14 Segunda División awards at the LFP Awards Ceremony. On 5 June 2014 Ayoze rejected interest from Real Madrid , Barcelona and Porto t"
315,tals_vitaminc_validation_sample1000_validation_6731,SUPPORT,NOT_ENTITLED,false_NE_on_SUPPORT,The Frozen Ground garnered positive reactions .,"The film was released in very few theaters and simultaneously to video on demand on August 23 , 2013 , and has received generally favorable reviews with Cage 's performance cited as a highlight."
317,tals_vitaminc_validation_sample1000_validation_52415,REFUTE,SUPPORT,wrong_polarity_REFUTE_to_SUPPORT,Lockhead Martin F-35 Lightning II first flew in November..,The F-35 first flew on 15 December 2006 .
319,tals_vitaminc_validation_sample1000_validation_17949,REFUTE,NOT_ENTITLED,false_NE_on_REFUTE,The New York Yankees scored less than three goals at Baltimore Orioles in the 2019 season .,"Yankees won the series 4–0 ( 26–12 runs ) < ! -- ; August 5–7 , at Baltimore Orioles"
320,tals_vitaminc_validation_sample1000_validation_56637,REFUTE,SUPPORT,wrong_polarity_REFUTE_to_SUPPORT,Sam Claflin stars in The Hunger Games film series as James Odair .,"He is known for portraying Finnick Odair in the The Hunger Games film series , Philip Swift in Pirates of the Caribbean : On Stranger Tides , and Will Traynor in Me Before You ."
322,tals_vitaminc_validation_sample1000_validation_60691,REFUTE,NOT_ENTITLED,false_NE_on_REFUTE,Veeru Devgan is from India .,Veeru Devgan is a French stunt and action choreographer and film director in Bollywood .
323,tals_vitaminc_validation_sample1000_validation_48641,REFUTE,SUPPORT,wrong_polarity_REFUTE_to_SUPPORT,The film Frozen was released after 2014 .,Frozen is a 2013 American 3D computer-animated musical fantasy film produced by Walt Disney Animation Studios and released by Walt Disney Pictures .
324,tals_vitaminc_validation_sample1000_validation_12187,NOT_ENTITLED,SUPPORT,false_SUPPORT_on_NE,"Kimi Räikkönen stood on the podium during the 2003 , 2005 , 2007 , 2008 , 2009 , 2012 , 2013 , 2017 , 2018 Hungarian Grand Prix events .","Räikkönen solely holds the record for the most podiums at the same Grand Prix ( 9 ) , which he has achieved at the Hungarian Grand Prix . ("
325,tals_vitaminc_validation_sample1000_validation_45521,REFUTE,NOT_ENTITLED,false_NE_on_REFUTE,Chile is a place .,Chile is a famous dish usually eaten in forests and grazing lands .
326,tals_vitaminc_validation_sample1000_validation_55385,REFUTE,NOT_ENTITLED,false_NE_on_REFUTE,The third series of the TV show Poldark is yet to be commissioned .,"The BBC announced on 6 July 2016 , before series 2 had begun , that a third series had been commissioned ."
329,tals_vitaminc_validation_sample1000_validation_39037,REFUTE,NOT_ENTITLED,false_NE_on_REFUTE,The production of Boyhood began after 2003 .,"The film began production in 2002 , with Linklater 's goal to make a film about a growing up ."
330,tals_vitaminc_validation_sample1000_validation_20580,SUPPORT,NOT_ENTITLED,false_NE_on_SUPPORT,MIGS stands for minimally invasive glaucoma surgery .,"The implants are different from more other ab interno implants for minimally invasive glaucoma surgery ( MIGS ) that do not create a transscleral drainage , such as iStent , CyPass , or Hydrus ."
333,tals_vitaminc_validation_sample1000_validation_15096,REFUTE,SUPPORT,wrong_polarity_REFUTE_to_SUPPORT,"On Rotten Tomatoes , The Oath has an approval rating of more than 62 % according to less than 68 reviews and an average rating of more than 5.4 out of 10 .","On review aggregator Rotten Tomatoes , the film holds an approval rating of 59 % based on 76 reviews , with an average rating of 5.4/10 ."
335,tals_vitaminc_validation_sample1000_validation_25058,REFUTE,SUPPORT,wrong_polarity_REFUTE_to_SUPPORT,Sergio Romero played in less than 89 matches since he started playing for Argentina 's national team .,"He joined Manchester United in July 2015.Romero is the most capped goalkeeper in the history of the Argentine national team , playing 90 times since his debut in 2009 ."
336,tals_vitaminc_validation_sample1000_validation_8928,NOT_ENTITLED,SUPPORT,false_SUPPORT_on_NE,John Aldridge signed to play in Kenny Dalglish 's Liverpool .,"He signed for Kenny Dalglish 's side on 27 January 1987 for £750,000 and cut his teeth with the club as a partner for Rush ( filling a position previously occupied by player-manager Dalglish and fellow striker Paul Walsh ) ."
338,tals_vitaminc_validation_sample1000_validation_11474,REFUTE,SUPPORT,wrong_polarity_REFUTE_to_SUPPORT,Hexham 's population in 2011 was less than 11.5 million .,"In 2011 , it had a population of 11,837,829.Smaller towns and villages around Hexham include Corbridge , Riding Mill , Stocksfield and Wylam to the east , Acomb and Bellingham to the north , Allendale to the south and Haydon Bridge , Bardon Mill and Haltwhistl"
339,tals_vitaminc_validation_sample1000_validation_21823,SUPPORT,NOT_ENTITLED,false_NE_on_SUPPORT,The Waterloo & City line runs directly between Waterloo and Bank–Monument station .,"On 8 August 1898 , the company opened the Waterloo & City line , a 'tube ' underground railway that ran directly between Waterloo and Bank–Monument station in the City ."
342,tals_vitaminc_validation_sample1000_validation_29616,SUPPORT,REFUTE,wrong_polarity_SUPPORT_to_REFUTE,"There have been 12,065 severe coronavirus cases out of more than 77,249 .","As of 21 February 2020 , the number of severe cases is 12,065 ( 16 % ) out of 77,250 with 18,476 having recovered."
344,tals_vitaminc_validation_sample1000_validation_46091,REFUTE,NOT_ENTITLED,false_NE_on_REFUTE,Connie Nielsen is an actress .,"Connie Inge-Lise Nielsen - born 3 July 1965 - is a full-time writer and one of the most celebrated Danish authors , whose first book , The Devil 's Advocate ( 1997 ) , was the bestselling novel in Europe in 1997 ."
345,tals_vitaminc_validation_sample1000_validation_5718,REFUTE,SUPPORT,wrong_polarity_REFUTE_to_SUPPORT,Rollins threatened to kill Edge .,Edge was held to the mat by Big Show while Rollins threatened to paralyze him with the curb stomp if John Cena refused to bring back The Authority .
346,tals_vitaminc_validation_sample1000_validation_5135,REFUTE,SUPPORT,wrong_polarity_REFUTE_to_SUPPORT,Van Halen has sold over 50 million albums worldwide .,"As of March 2019 , Van Halen is 20th on the RIAA list of best-selling artists in the United States ; the band has sold 56 million albums in the States and more than one million worldwide ."
347,tals_vitaminc_validation_sample1000_validation_48761,REFUTE,SUPPORT,wrong_polarity_REFUTE_to_SUPPORT,Gin is a parrot .,Gin is Dalma Maradona 's parrot .
348,tals_vitaminc_validation_sample1000_validation_48527,REFUTE,SUPPORT,wrong_polarity_REFUTE_to_SUPPORT,Francis I of France was born on the twelfth of September in the year 1494 .,"Francis I , born 1 August 1494 , was the first King of France from the Angoulême branch of the House of Valois ."
349,tals_vitaminc_validation_sample1000_validation_28991,REFUTE,NOT_ENTITLED,false_NE_on_REFUTE,Covid-19 was initially discovered after November 2019 .,"First identified in Wuhan , Hubei , China in November 2019 , the global outbreak was designated as a pandemic by the World Health Organization ( WHO ) on 11 March 2020. ,"
351,tals_vitaminc_validation_sample1000_validation_41195,REFUTE,NOT_ENTITLED,false_NE_on_REFUTE,"At the end of its theatrical run , Raees had grossed less than 290 crores worldwide .",Raees grossed 304 crore worldwide at the end of its theatrical run .
354,tals_vitaminc_validation_sample1000_validation_28547,REFUTE,NOT_ENTITLED,false_NE_on_REFUTE,"The Leishenshan Hospital would have more than 1,500 beds .","Authorities announced plans for a second specialty hospital on 25 January which will be named Leishenshan Hospital , with a capacity of 1,300 beds ; completion is planned within `` half a month . ''"
355,tals_vitaminc_validation_sample1000_validation_56942,SUPPORT,NOT_ENTITLED,false_NE_on_SUPPORT,Saxony is a German state .,"The Free State of Saxony -LRB- der Freistaat Sachsen -LSB- ˈfʁaɪ̯ʃtaːt ˈzaksn̩ -RSB- Swobodny stat Sakska -RRB- is a landlocked federal state of Germany , bordering the federal states of Brandenburg , Saxony Anhalt , Thuringia , and Bavaria , as well as the co"
358,tals_vitaminc_validation_sample1000_validation_50024,SUPPORT,NOT_ENTITLED,false_NE_on_SUPPORT,The human brain contains the thalamus .,"Underneath the cerebral cortex , several important structures are located , which exclusively include the thalamus , the epithalamus , the pineal gland , the pituitary gland , and the subthalamus ."
359,tals_vitaminc_validation_sample1000_validation_33198,SUPPORT,REFUTE,wrong_polarity_SUPPORT_to_REFUTE,There are 12 confirmed coronavirus cases in Fiji .,This has brought the total confirmed cases to twelve.
360,tals_vitaminc_validation_sample1000_validation_1470,NOT_ENTITLED,SUPPORT,false_SUPPORT_on_NE,Resident Evil : The Final Chapter scored over 53 % based on less than 17 reviews .,"`` On Metacritic , which assigns a normalized rating , the film has a score 51 out of 100 , based on 17 critics , indicating `` '' mixed or average reviews '' '' . ''"
363,tals_vitaminc_validation_sample1000_validation_160,SUPPORT,REFUTE,wrong_polarity_SUPPORT_to_REFUTE,"There were more than 396,000 coronavirus cases and over 104,000 recoveries by March 24 .","As of 24 March , more than 396,000 cases of COVID-19 have been reported in more than 190 countries and territories , resulting in more than 17,200 deaths and more than 104,000 recoveries ."
365,tals_vitaminc_validation_sample1000_validation_61103,REFUTE,NOT_ENTITLED,false_NE_on_REFUTE,The White House Press Secretary is a low-ranking official .,"The White House Press Secretary is a senior White House official whose primary responsibility is to act as spokesperson for the executive branch of the United States government administration , especially with regard to the President , senior executives , and "
366,tals_vitaminc_validation_sample1000_validation_2754,NOT_ENTITLED,REFUTE,false_REFUTE_on_NE,L & T Infrastructure Engineering Limited has more than 5 years of technical and managerial experience .,"The company enjoys complete freedom to set and pursue its goals , drawing , as and when required , on the technical and managerial resources of L & T Infrastructure Engineering Limited . *"
367,tals_vitaminc_validation_sample1000_validation_10726,SUPPORT,REFUTE,wrong_polarity_SUPPORT_to_REFUTE,Young Thug is also known as the GOAT .,"The album features 22 songs , with guest appearances from Brent Faiyaz , Clever , and Young Thug AKA the GOAT."
368,tals_vitaminc_validation_sample1000_validation_11043,SUPPORT,NOT_ENTITLED,false_NE_on_SUPPORT,The Heretic was considered a disappointment in the box office .,"The Heretic was Warner 's largest day and date launch , opening in 725 theatres in the United States and Canada and set an opening weekend record for Warner 's but was considered a disappointment at the box office ."
369,tals_vitaminc_validation_sample1000_validation_28784,SUPPORT,NOT_ENTITLED,false_NE_on_SUPPORT,"Originally , Coronavirus was spread from animals to people .","The virus originally spread to humans from another animal , but has subsequently spread between people ."
371,tals_vitaminc_validation_sample1000_validation_4087,SUPPORT,NOT_ENTITLED,false_NE_on_SUPPORT,Bury a Friend includes a vocal line similar to The Doors song : People Are Strange .,"`` The tracks opens with Crooks saying `` '' Billie '' '' before Eilish begins singing , her voice affected by a Vocoder , over a taut , muffled beat reminiscent of Kanye West 's track `` '' Black Skinhead '' '' ( 2013 ) , a vocal line similar to `` '' People "
372,tals_vitaminc_validation_sample1000_validation_17663,SUPPORT,NOT_ENTITLED,false_NE_on_SUPPORT,"The character Rick , in 99 Homes , is influential .","The home owner surrenders and Dennis is also arrested , but the well-connected Rick , standing in the background , is not."
373,tals_vitaminc_validation_sample1000_validation_30168,SUPPORT,REFUTE,wrong_polarity_SUPPORT_to_REFUTE,"The number of confirmed coronavirus cases was less than 95,000 in the District of Columbia , with less than 1,400 deaths .","the epidemic was present in all 50 states , plus the District of Columbia , with the number of confirmed cases currently at 93,131 with 1,382 deaths ."
374,tals_vitaminc_validation_sample1000_validation_52110,SUPPORT,NOT_ENTITLED,false_NE_on_SUPPORT,Larry Wilmore is a person who produces .,He serves as an executive producer for the ABC television series Black-ish .
375,tals_vitaminc_validation_sample1000_validation_41192,NOT_ENTITLED,SUPPORT,false_SUPPORT_on_NE,Raees ' grosses in India were 194.6 crores .,"Domestically , it grossed in India ."
376,tals_vitaminc_validation_sample1000_validation_41652,NOT_ENTITLED,SUPPORT,false_SUPPORT_on_NE,The `` bury your gays '' is a metaphor used when LGBTQ characters are killed off in TV series .,"The character is killed off during the first season , which was criticized by some as following the `` bury your gays '' trope ."
377,tals_vitaminc_validation_sample1000_validation_56009,REFUTE,SUPPORT,wrong_polarity_REFUTE_to_SUPPORT,Recovery is Eminem 's seventh studio album .,Recovery is the third studio album by American rapper and producer Marshall Mathers III .
378,tals_vitaminc_validation_sample1000_validation_4502,SUPPORT,NOT_ENTITLED,false_NE_on_SUPPORT,Brenton Harrison Tarrant had phrases inscribed on his weapons that referred to the Battle of Vienna .,"Brenton Harrison Tarrant the Australia-born shooter who killed 51 people and injured 50 more during Christchurch mosque shootings at Al Noor Mosque and Linwood Islamic Centre in Christchurch , New Zealand specifically referenced the Battle of Vienna in his man"
379,tals_vitaminc_validation_sample1000_validation_32351,REFUTE,SUPPORT,wrong_polarity_REFUTE_to_SUPPORT,"Italy has more than 30,000 confirmed coronavirus cases , over 2,500 deaths , and over 2,800 recoveries .","there were 27,980 confirmed cases , 2,158 deaths and 2,729 recoveries in Italy ."
382,tals_vitaminc_validation_sample1000_validation_2838,REFUTE,SUPPORT,wrong_polarity_REFUTE_to_SUPPORT,The TV series Preacher has a rating of more than 7.65/10,"Review aggregation website Rotten Tomatoes gave the series an approval rating of 89 % , based on 66 reviews , with an average rating of 7.64/10 ."
384,tals_vitaminc_validation_sample1000_validation_53418,SUPPORT,NOT_ENTITLED,false_NE_on_SUPPORT,Men in Black II is a film from America .,"Men in Black II -LRB- stylized as MIIB -RRB- is a 2002 American science fiction action comedy film starring Tommy Lee Jones , Will Smith , Lara Flynn Boyle , Johnny Knoxville , Rosario Dawson , Tony Shalhoub and Rip Torn ."
386,tals_vitaminc_validation_sample1000_validation_9368,NOT_ENTITLED,REFUTE,false_REFUTE_on_NE,The European Alliance for Freedom was one of the organizations that refused to nominate candidates in the 2014 European Parliament election .,"The European Conservatives and Reformists and the Europe of Freedom and Democracy group declined to nominate candidates , objecting on the basis that it was an attempt to appropriate additional powers to the European Parliament at the expense of national democ"
387,tals_vitaminc_validation_sample1000_validation_45652,SUPPORT,NOT_ENTITLED,false_NE_on_SUPPORT,Chris Kyle is still alive .,"Christopher Scott Kyle ( April 8 , 1974 ) is a United States Navy SEAL veteran and sniper ."
388,tals_vitaminc_validation_sample1000_validation_55046,SUPPORT,NOT_ENTITLED,false_NE_on_SUPPORT,Pearl Jam plays music .,"Pearl Jam were inducted into the Rock and Roll Hall of Fame on April 7 , 2017 , in their first year of eligibility ."
389,tals_vitaminc_validation_sample1000_validation_56417,REFUTE,NOT_ENTITLED,false_NE_on_REFUTE,Roar is a Katy Perry 's book .,"`` Roar `` is a song by American singer Katy Perry for her fourth studio album , Prism -LRB- 2013 -RRB- ."
391,tals_vitaminc_validation_sample1000_validation_42837,REFUTE,NOT_ENTITLED,false_NE_on_REFUTE,Always is a television show .,"Always is a 1989 American romantic comedy-drama film directed by Steven Spielberg and starring Richard Dreyfuss , Holly Hunter , John Goodman , introducing Brad Johnson , and featuring Audrey Hepburn 's cameo in her final film appearance ."
394,tals_vitaminc_validation_sample1000_validation_4393,REFUTE,NOT_ENTITLED,false_NE_on_REFUTE,Sam Fender was born after 1993 .,"Sam Fender ( born 25 April 1993 ) is an English singer-songwriter who was named one of the BBC 's Sound of 2018 alongside other emerging artists including Sigrid , Lewis Capaldi , and Khalid ."
395,tals_vitaminc_validation_sample1000_validation_32225,SUPPORT,REFUTE,wrong_polarity_SUPPORT_to_REFUTE,"Between 5th January - 11th of January 2020 , no new coronavirus cases was reported in China .","The same day , Public Health England issued its guidance.11 January 2020 : In China , more than 700 close contacts of the 41 confirmed cases , including more than 400 healthcare workers , had been monitored , with no new cases reported in China since 5 January"
396,tals_vitaminc_validation_sample1000_validation_44491,REFUTE,SUPPORT,wrong_polarity_REFUTE_to_SUPPORT,Brad Wilk died before being a member of Greta in 1990 .,"Wilk started his career as a drummer for Greta in 1990 , and helped co-found Rage with Tom Morello and Zack de la Rocha in August 1991 ."
398,tals_vitaminc_validation_sample1000_validation_48165,REFUTE,NOT_ENTITLED,false_NE_on_REFUTE,The Faroe Islands were a fictional place .,"In 1814 , the Treaty of Kiel granted Denmark control over the islands , along with two other Norwegian island possessions : Greenland and Iceland ."
399,tals_vitaminc_validation_sample1000_validation_32490,SUPPORT,REFUTE,wrong_polarity_SUPPORT_to_REFUTE,"There were more than 78,000 coronavirus recoveries .","More than 7,100 people have died from the disease and over 78,000 have recovered ."
400,tals_vitaminc_validation_sample1000_validation_4495,SUPPORT,NOT_ENTITLED,false_NE_on_SUPPORT,Danielle Young added John Singleton to the list of Black men that harassed her .,"`` `` '' In November 2017 , Danielle Young , a journalist for The Root who had interviewed Singleton in June 2017 , added him to the list of Black men she says sexually harassed her after the interview and while taking a photo she proudly posted on Instagram. "
401,tals_vitaminc_validation_sample1000_validation_59297,REFUTE,NOT_ENTITLED,false_NE_on_REFUTE,The Good Wife is a TV show .,"The Good Wife film has especially received wide acclaim for its insight on social media and the internet in society , politics , and law ."
403,tals_vitaminc_validation_sample1000_validation_38225,NOT_ENTITLED,REFUTE,false_REFUTE_on_NE,"On March 30 , 2020 , the confirmed cases of coronavirus in Nevada were more than 800 and the deaths were over 14 .","As of March 29 , 2020 , 738 positive cases and 14 deaths were reported in the state."
